11,.0078,0,1.0
126,.0229,67.2,-0.03
0,0,0,1.0
151,.0282,66.2,-0.02
555,.0837,55.4,0.15
596,.0948,54.2,0.17
559,.1011,61.5,0.05
0,0,0,1.0
32,.0247,63.6,0.02
0,0,0,1.0
9,0,0,1.0
38,.0308,64.1,0.01
3,0,0,1.0
26,.0231,63.7,0.02
20,0,0,1.0
149,.0254,68,-0.05
12,0,0,1.0
85,.1252,44.9,0.31
92,.0379,66.6,-0.02
98,.0391,64.9,0.0
21,.0172,64.9,0.0
17,.0124,65.2,-0.0
0,0,0,1.0
8,0,0,1.0
36,.0295,0,1.0
526,.1489,42.7,0.34
0,0,0,1.0
475,.1088,49.7,0.24
284,.1635,38.6,0.41
334,.1464,28.4,0.56
0,0,0,1.0
36,0,0,1.0
7,0,0,1.0
247,.0748,52.6,0.19
301,.1002,48.1,0.26
349,.1002,50.1,0.23
332,.0833,63.3,0.03
332,.0833,63.3,0.03
88,.0197,66.8,-0.03
332,.0833,63.3,0.03
0,0,0,1.0
48,.1198,0,1.0
675,.1313,46.7,0.28
524,.0873,57.7,0.11
98,.0469,67.5,-0.04
83,.0724,61.8,0.05
5,.0038,65.8,-0.01
98,.0469,67.5,-0.04
573,.0956,65.2,-0.0
532,.0705,65.1,-0.0
0,0,0,1.0
212,.0382,69,-0.06
331,.0752,55.9,0.14
565,.087,55.7,0.14
778,.1417,60.6,0.07
64,.0896,0,1.0
0,0,0,1.0
152,.0223,66.9,-0.03
273,.0575,61.5,0.05
283,.0547,63.2,0.03
534,.0882,65.1,-0.0
502,.0662,64.4,0.01
0,0,0,1.0
151,.0272,45.8,0.3
27,.0109,0,1.0
230,.08,53.9,0.17
4,.0082,0,1.0
15,.0182,0,1.0
313,.3007,27.7,0.57
524,.3714,12.5,0.81
631,.2746,30.9,0.52
46,.0781,0,1.0
49,.0581,0,1.0
204,.1437,42.3,0.35
3,.0065,0,1.0
291,.3353,27.3,0.58
497,.1168,53,0.18
0,0,0,1.0
130,.2649,28.6,0.56
108,.1662,30.7,0.53
719,.1576,54,0.17
693,.1654,43.7,0.33
0,0,0,1.0
153,.4179,10.8,0.83
193,.0451,64.2,0.01
329,.0538,64.3,0.01
162,.0481,0,1.0
306,.0508,66.7,-0.03
8,.0068,0,1.0
158,.0498,61.1,0.06
16,.0162,0,1.0
135,.0458,61.1,0.06
